deployment_num,project_name,device_type,am_recorder_lab_id_num,AM_recorder_ID,AM_micro_sd_ID,AM_config_file_name,deployment_team,location_site_name,site_subname,latitude,longitude,gps_source,gps_accuracy_m,AM_housing,height_above_ground_m,dropoff_date,dropoff_time,dropoff_notes,habitat,setting,game_cam_present,num_game_cam_present,game_cam_deploy_num,pickup_date,pickup_time,working_at_retrieval,pickup_notes,recorder_checkin_date,recorder_checkin_notes,card_upload_date,card_upload_notes,card_data_size,FLAG,FLAG_comments
AM0023,Summer 2024 test 1,AudioMoth,14,2474750763FA5818,15,July_test_48_24hr.config,"Erika, Gus",Kip Tract,Site 3,44.58639,-75.139726,,,,,28-Jun-24,15:09,"Top position on t-post; See AM0031 for other deployment details. Upon configuration, time app says clock may be running fast - possible hardware problem; message only on first time applying time to AM",Deciduous,Rural,TRUE,,,17-Jul-24,11:20,TRUE,flashing green and red lights; ,17-Jul-24,"batteries removed, unit left out to dry before long term storage",19-Jul-24,"last recording July 5, 2024 at 6:51 pm",52.47 gb,FALSE,
AM0024,Summer 2024 test 1,AudioMoth,4,242A260463FA7A6E,5,July_test_48_24hr.config,"Erika, Gus",SLU Campus,Site 4 - Oldfield,44.588901,-75.134975,,,,,28-Jun-24,16:14,Bottom position on t-post; see AM0032 for other deployment details. time app says clock may be running fast - possible hardware problem; message only on first time applying time to AM,Oldfield,Rural,TRUE,,,17-Jul-24,12:01,TRUE,flashing green and red lights; ,17-Jul-24,"batteries removed, unit left out to dry before long term storage",17-Jul-24,"last recording July 5, 2024 4:26 am",47.83 gb,FALSE,
AM0025,Summer 2024 test 1,AudioMoth,10,243EBE0164D67739,12,July_test_48_partial.config,"Erika, Gus",Erika's camp,Site 1,44.4931067,-75.08547655,,,,,28-Jun-24,13:33,"Middle position on t-post; see Deployment AM0021 for other details. At configuration, time app says clock may be running fast - possible hardware problem; message only on first time applying time to AM",Deciduous,Rural,TRUE,,,17-Jul-24,10:42,TRUE,flashing green lights,17-Jul-24,batteries removed and unit allowed to dry before storage,2-Aug-24,last recording July 15 at 11:59 pm,32.9 gb,FALSE,
AM0026,Summer 2024 test 1,AudioMoth,15,243B1F0663FA5AC8,8,July_test_48_partial.config,"Erika, Gus",Kip Tract,Site 2,44.58567,-75.134656,,,,,28-Jun-24,14:36,"Top position on t-post. See AM0030 for other deployment notes. At configuration, time app says clock may be running fast - possible hardware problem; message only on first time applying time to AM",Deciduous,Rural,TRUE,,,17-Jul-24,11:42,TRUE,flashing green lights,17-Jul-24,"batteries removed, unit left out to dry before long term storage",18-Jul-24,,32.91 gb,FALSE,
AM0027,Summer 2024 test 1,AudioMoth,9,2466BE0464D67B31,13,July_test_48_partial.config,"Erika, Gus",Kip Tract,Site 3,44.58639,-75.139726,,,,,28-Jun-24,15:07,"Bottom postion on t-post; see AM0031 for other deployment details. Upon configuration, time app says clock may be running fast - possible hardware problem; message only on first time applying time to AM",Deciduous,Rural,TRUE,,,17-Jul-24,11:20,TRUE,flashing red and green lights on unit,17-Jul-24,"batteries removed, unit left out to dry before long term storage",19-Jul-24,"last recording date 11 July 2024; 5 files dated Dec 31, 1979 11 pm on card - card full",63.83 gb,TRUE,"computer says there are 24.32 GB of data, card says 63.83 and full"
AM0028,Summer 2024 test 1,AudioMoth,1,24F3190863FAA5B9,17,July_test_48_partial.config,"Erika, Gus",SLU Campus,Site 4 - Oldfield,44.588901,-75.134975,,,,,28-Jun-24,16:18,Top position on t-post. See AM0032 for more details. time app says clock may be running fast - possible hardware problem; message only on first time applying time to AM,Oldfield,Rural,TRUE,,,17-Jul-24,12:01,TRUE,flashing green light,17-Jul-24,"batteries removed, unit left out to dry before long term storage",17-Jul-24,"last recording July 15, 2024 at 11:59 pm",32.91 gb,FALSE,
AM0029,Summer 2024 test 1,AudioMoth,19,243B1F0663FAA578,4,July_test_96_partial.config,"Erika, Gus",Erika's camp,Site 1,44.4931067,-75.08547655,,,,,28-Jun-24,13:34,"Top position on t-post. See deployment AM0021 for other details. At configuration prior to deployment, time app says clock may be running slow - possible hardware problem; ",Deciduous,Rural,TRUE,,,17-Jul-24,10:41,TRUE,flashing red and green lights on unit,17-Jul-24,batteries removed and device air dried prior to storage,19-Jul-24,"last recording July 15, 2024 at 9:00 pm; 5 files dated 31 Dec 1979 on disc. ",63.48 gb,FALSE,
AM0030,Summer 2024 test 1,AudioMoth,12,243EBE0164D67AF1,19,July_test_96_partial.config,"Erika, Gus",Kip Tract,Site 2,44.58567,-75.134656,,,,,28-Jun-24,14:33,"Bottom position on t-post. Deployed at Forest Ecology Kip Plot #1. All audio moths facing East.Can hear bullfrogs in swamp adjacent to site as well as birds, traffic. 1 minute of Merlin App recording yielded red-eyed vireo. I also heard ovenbirds when I arrived. At configuration, time app says clock may be running fast - possible hardware problem; message only on first time applying time to AM",Deciduous,Rural,TRUE,,,17-Jul-24,11:42,FALSE,no lights flashing,17-Jul-24,"batteries removed, unit left out to dry before long term storage. When I removed the batteries, I noticed that a piece of battery wrapper had come unfolded and was covering one of the terminals, blocking electricity flow. ",18-Jul-24,no data; ,0 gb,FALSE,
AM0031,Summer 2024 test 1,AudioMoth,7,2403750364D67B21,9,July_test_96_partial.config,"Erika, Gus",Kip Tract,Site 3,44.58639,-75.139726,,,,,28-Jun-24,15:08,"Middle position on t-post; Deployed at Kip Tract Forest Ecology Plot 3 with 2 other audiomoths and 1 game camera. Quiet - can hear some traffic noise. Merlin App 1 minute of listening just gives American robin, red-eyed vireo. All audiomoths facing East. Upon configuration, time app says clock may be running fast - possible hardware problem; message only on first time applying time to AM",Deciduous,Rural,TRUE,,,17-Jul-24,11:20,TRUE,flashing red and green lights on unit,17-Jul-24,"batteries removed, unit left out to dry before long term storage",19-Jul-24,"last recording June 29, 2024 at 9:12 pm; 5 files dated Dec 31, 1979 at 11:00 pm each of zero bytes also on card",63.83 gb but shows 2.78 GB when copying files. I think the card maybe wasn't empty when I started? Except for there are no files on the card from prior to 29 June. Something fishy.,TRUE,63.83 gb but shows 2.78 GB when copying files. I think the card maybe wasn't empty when I started? Except for there are no files on the card from prior to 29 June. Something fishy.
AM0032,Summer 2024 test 1,AudioMoth,18,24E1440163FAB36D,6,July_test_96_partial.config,"Erika, Gus",SLU Campus,Site 4 - Oldfield,44.588901,-75.134975,,,,,28-Jun-24,16:16,"Middle position on t-post. All Audiomoths facing East. Deployed in oldfield off of Saddlemire trail near weather station. Cut plants to create opening for game camera view. 3 Audiomoths plus 1 camera at deployment site. Can hear many different birds: 1 minute of Merlin app identified: yellow warbler, gray catbird, red winged blackbird, cedar waxwing, house finch, american robin, bobolink, song sparrow. Can also hear traffic, train, airplane. Upon configuring before deployment, time app says clock may be running fast - possible hardware problem; message only on first time applying time to AM",Oldfield,Rural,TRUE,,,17-Jul-24,12:01,TRUE,flashing red and green lights on unit,17-Jul-24,"batteries removed, unit left out to dry before long term storage",17-Jul-24,5 zero byte files dated Dec 31 1979 - is this because card filled? Last recording date July 15 9:00 pm,63.48 gb,FALSE,
AM0033,Fall 2024 test,AudioMoth,12,243EBE0164D67AF1,14,sunrise_sunset.config,"Erika, Gus, Elena, Josie, Cam",Kip Tract,Mammalogy b/w transects 1+2,44.584054,-75.136042,,,,,11-Oct-24,17:01,"in plastic audio moth housing. Deployed c. 3m from camera trap on Mammalogy small mammal traid b/w transects 1+2. c. 3m to W and N of camera on c. 3"" diameter red maple",Deciduous,Rural,TRUE,,C0331,9-Jun-25,13:52,FALSE,,9-Jun-25,"batteries removed, allowed to air dry in lab",25-Jun-25,last recording date was 10 Nov 2024 5:50 am; still room on SD card - batteries must have died  before SD filled or else config had just this range of dates,38.7 gb,FALSE,
AM0034,Fall 2024 test,AudioMoth,15,243B1F0663FA5AC8,2,sunrise_sunset.config,"Erika, Gus, Elena, Josie, Cam",Kip Tract,Mammalogy b/w transects 3+4,44.583556,-75.137543,,,,,11-Oct-24,16:37,in plastic audio moth housing. Used phone for gps coordinates. Placed c. 1m off ground on roots of tip up mound c. 2m from game camera located b/w transect 3+4. Facing W. No flagging.,Evergreen,Rural,TRUE,,C0332,9-Jun-25,14:04,FALSE,,9-Jun-25,batteries removed and allowed to air dry in lab,25-Jun-25,last recording date is 10 Nov 2024 5:50 am as per configuration,38.7 gb,FALSE,
AM0035,Fall 2024 test,AudioMoth,22,24F3190863FAB496,20,sunrise_sunset.config,"Erika, Gus, Elena, Josie, Cam",Kip Tract,Mammalogy b/w transects 5+6,44.583718,-75.14128,,,,,11-Oct-24,15:58,in plastic audio moth housing. In small American beech to N and E of black cherry w/game camera on it. c. 2 m from cherry. No flagging.,Evergreen,Rural,TRUE,,C0330,9-Jun-25,14:20,FALSE,,9-Jun-25,batteries removed and air dried in lab,25-Jun-25,last recording date 10 Nov 2024 5:50 am as per config,38.71 gb,FALSE,
AM0036,Fall 2024 test,AudioMoth,6,,11,sunrise_sunset.config,"Erika, Gus",Erika's camp,,44.492226,-75.084922,,,,,22-Oct-24,9:00,in plastic audiomoth case. Mic on lower side facing E c. 1 m above ground on t-post. Can hear street and air traffic. Deployed with 2nd AM at same site that is recording in a wider frequency band (96 khz). Used phone to gps c. 4 m accuracy.,Deciduous,Rural,FALSE,,,7-Jul-25,17:20,FALSE,had been out for more than 6 months,7-Jul-25,batteries removed and device air dried prior to storage,7-Jul-25,last recording date 29 Nov 2024,47.82 gb,FALSE,
AM0037,Fall 2024 test,AudioMoth,13,,10,sunrise_sunset_96.config,"Erika, Gus",Erika's camp,,44.492226,-75.084922,,,,,22-Oct-24,9:07,in plastic audiomoth case. Unit facing E c. 1 m above ground on t-post and sitting just above unit 6. . Can hear street and air traffic. Deployed with 2nd AM at same site that is recording in a narrower frequency band (48 khz). Used phone to gps c. 4 m accuracy.,Deciduous,Rural,FALSE,,,7-Jul-25,17:20,FALSE,had been out for more than 6 months,7-Jul-25,batteries removed and device air dried prior to storage,7-Jul-25,last recording 16 Nov 2024,63.47 gb,FALSE,
AM0038,Fall 2024 test,AudioMoth,11,,16,sunrise_sunset_96.config,"Erika, Gus",Erika's camp,,44.493959,-75.083513,,,,,22-Oct-24,9:21,"in plastic audiomoth case. Purposely deployed c. 10 - 15 m from stream bank to see how background water noise impacts our ability to discern sounds. Deployed as bottom of 2 AMs on t-post together at same location. c. 1 m above ground, mic facing E. Used good gps to determine location, 1.3 m accuracy. LOTS OF BEAVER ACTIVITY NEARBY",Deciduous,Rural,FALSE,,,7-Jul-25,12:15 PM,FALSE,had been out for over 6 months,7-Jul-25,batteries removed and device air dried prior to storage,7-Jul-25,last recording date Nov12 2024,54.17 gb,FALSE,
AM0039,Fall 2024 test,AudioMoth,20,,18,sunrise_sunset.config,"Erika, Gus",Erika's camp,,44.493959,-75.083513,,,,,22-Oct-24,9:27,"in plastic audiomoth case. Purposely deployed c. 10 - 15 m from stream bank to see how background water noise impacts our ability to discern sounds. Deployed as bottom of 2 AMs on t-post together at same location (with unit 011_016). c. 1 m above ground, mic facing E. Used good gps to determine location, 1.3 m accuracy. LOTS OF BEAVER ACTIVITY NEARBY",Deciduous,Rural,FALSE,,,7-Jul-25,12:15,FALSE,had been out for over 6 months,7-Jul-25,batteries removed and device air dried prior to storage,7-Jul-25,last recording date Nov 30 2024,50.06 gb,FALSE,
AM0040,Summer 2025 hi-low test,AudioMoth,22,24F3190863FAB496,25,high-low-July-7-2025.config,"Aidan Fauth, Liz Anderson",Erika's camp,Erika's camp round 2,44.493512,-75.085383,phone,4.7,Ziplock,3,14-Jul-25,10:45,"in ziplock bag. Is the ""high"" treatment at this location, paired with AM026_SD019 as ""low"". ",Deciduous,Rural,TRUE,1,C0345,21-Jul-25,15:26,TRUE,,22-Jul-25,,22-Jul-25,recordings through 19 July 2025;,25.48 gb,FALSE,
AM0041,North Country Wild,AudioMoth,24,242A260463FAD01C,15,June-19-2025.config,"Aidan Fauth, Liz Anderson",Grasse River,Grasse River - Cranberry Lake Wild Forest - Site 2,44.240528,-74.783405,gps,2,Case,1.5,20-Jun-25,14:41,In hard case. paired with second audiomoth (AM3_SD23) and game camera (C0347); this one did not get knocked off tree. Added point to map retroactively 10 July 2025. Logged to Aidan/Liz summer spreadsheet 17 July 2025,Deciduous,Rural,TRUE,1,C0347,11-Jul-25,13:04,,,11-Jul-25,,17-Jul-25,,,,
AM0042,North Country Wild,AudioMoth,3,249C600363FAC63F,23,June-19-2025.config,"Aidan Fauth, Liz Anderson",Grasse River,Grasse River - Cranberry Lake Wild Forest - Site 2,44.240528,-74.783405,gps,2,Ziplock,1.5,20-Jun-25,14:34,In ziplock bag. Paired with AM0041 and C0347. Deployed c. 1.5 m from ground.,Deciduous,Rural,TRUE,1,C0347,11-Jul-25,13:00,,Bag shredded by bear! Found on the ground and found hair snagged on tree. Added point to map retrocatively on 10 July 2025. Logged to summer spreadsheet 11 July 2025.,11-Jul-25,,11-Jul-25,uploaded to Summer 2025 AudioMoth Data/baggie_test/baggie/A003_SD023,,,
AM0043,North Country Wild,AudioMoth,16,2466BE0464D67AE1,4,June-19-2025.config,"Aidan Fauth, Liz Anderson",Raquette River,Raquette River - Sol's Island point 2,44.244579,-74.599009,gps,1,Case,2,20-Jun-25,12:25,In hard case. Can hear the road from point (but behind audio moth. Light flashing red when turned on. On small tree about 4 fee to the left of the camera tree.,Mixed,Rural,TRUE,1,C0349,11-Jul-25,9:56,,,11-Jul-25,,11-Jul-25,uploaded to Summer 2025 AudioMoth Data/baggie_test/case/A016_SD004,,,
AM0044,North Country Wild,AudioMoth,14,2474750763FA5818,5,June-19-2025.config,"Aidan Fauth, Liz Anderson",Kip Tract,Forest ecology plot 3,44.586377,-75.139697,gps,1.7,Ziplock,,19-Jun-25,15:37,"In ziplock bag, on same ash tree as camera. ",Deciduous,Rural,TRUE,1,C0350,2-Jul-25,11:58,,,3-Jul-25,,3-Jul-25,uploaded to Summer 2025 AudioMoth Data/baggie_test/baggie/A014_SD005,,,
AM0045,North Country Wild,AudioMoth,22,24F3190863FAB496,25,high-low-July-7-2025.config,"Aidan Fauth, Liz Anderson, Jess Harman",Erika's camp,,44.493307,-75.085609,phone,4.7,Ziplock,3,7-Jul-25,13:19,"In ziplock bag on pole (high treatment), paired with AM0045 and C0352.Left of AM014_SD002 and AM010_SD014 by breached beaver dam. Picked up, turned off, and walked 100 ft - still with 25 AM26?",Deciduous,Rural,TRUE,1,C0352,14-Jul-25,10:20,,,14-Jul-25,,22-Jul-25,uploaded to Summer 2025 AudioMoth Data/high_low_test/high/AM022_SD025_1. This is the first location for this device - it was moved as a second deployment and those files are in the same /high/ but in subfolder AM022_SD025_2,,FALSE,
